[2025-01-07 11:06:43] Outside temperature: 34°C, Inside temperature: 28°C, New state: Window close.
[2025-01-07 11:06:50] Outside temperature: 18°C, Inside temperature: 20°C, New state: Window open.
[2025-01-07 11:06:54] Outside temperature: 28°C, Inside temperature: 30°C, New state: Window close.
[2025-01-07 11:07:05] Outside temperature: 18°C, Inside temperature: 20°C, New state: Window open.
[2025-01-07 11:07:10] Outside temperature: 28°C, Inside temperature: 30°C, New state: Window close.
[2025-01-07 11:07:21] Outside temperature: 18°C, Inside temperature: 20°C, New state: Window open.
[2025-01-07 11:07:26] Outside temperature: 28°C, Inside temperature: 30°C, New state: Window close.
[2025-01-07 11:07:37] Outside temperature: 18°C, Inside temperature: 20°C, New state: Window open.
[2025-01-07 11:07:42] Outside temperature: 28°C, Inside temperature: 30°C, New state: Window close.
[2025-01-07 11:07:53] Outside temperature: 18°C, Inside temperature: 20°C, New state: Window open.
[2025-01-07 11:07:58] Outside temperature: 28°C, Inside temperature: 30°C, New state: Window close.
[2025-01-07 11:08:10] Outside temperature: 18°C, Inside temperature: 20°C, New state: Window open.
[2025-01-07 11:08:14] Outside temperature: 28°C, Inside temperature: 30°C, New state: Window close.
[2025-01-07 11:08:25] Outside temperature: 18°C, Inside temperature: 20°C, New state: Window open.
[2025-01-07 11:08:30] Outside temperature: 28°C, Inside temperature: 30°C, New state: Window close.
[2025-01-07 11:08:41] Outside temperature: 18°C, Inside temperature: 20°C, New state: Window open.
[2025-01-07 11:08:46] Outside temperature: 28°C, Inside temperature: 30°C, New state: Window close.
